,name,description,image
0,Linux 基础入门（新版）,要在实验楼愉快地学习，先要熟练地使用 Linux，本实验介绍 Linux 基本操作，shell 环境下的常用命令。,https://dn-simplecloud.shiyanlou.com/ncn1.jpg
1,新手指南之玩转实验楼,本实验通过一个 C 语言的编程例子学习实验楼的使用方法，面向完全没有编程经验的用户。从中我们将了解到实验楼的实验精神：“从实践切入，依靠交互性、操作性更强的课程，理论学习+动手实践共同激发你的创造力。”,https://dn-simplecloud.shiyanlou.com/course/1542592005404_【63】-【新手指南之玩转实验楼】.png
2,Git 与 GitHub 入门实践,本课程为 Git 与 GitHub 的入门课程，本着实用的原则，针对零基础同学，以图文的形式详细介绍了 Git & GitHub 结合使用的基本操作。包括以下知识点：在 GitHub 上创建仓库、克隆 GitHub 上的仓库到本地、添加修改到暂存区以及撤销修改、配置个人信息、版本回退、处理提交时间线分叉问题、使用本地提交变化记录、添加 SSH 关联授权、为 Git 命令设置别名、刷新本地分支信息、创建新的本地分支、将新分支中的提交推送至远程仓库、本地分支跟踪远程分支、删除远程分支、本地分支的更名与删除等。,https://dn-simplecloud.shiyanlou.com/course/1550728729236_【1035】-【Git与GitHub入门实践】(1).png
3,基于 React + Flask 打造私人专属网盘,课程使用 React 作为前端技术，Python Flask 作为后端技术，实现一个小型的私人网盘应用。项目中涉及到一个网站应用完整的设计与实现。通过实现一个完整项目来加深对于 React SPA 应用开发和 Python Flask 技术的理解。,https://dn-simplecloud.shiyanlou.com/course/1544667205363_[1212]-[基于-React-+-Flask-打造私人专属网盘](1).png
4,Spring Boot 入门教程,Spring Boot入门教程，Spring Boot作为当前十分流行的Java框架，深得Java开发人员的喜爱。本节课程需要同学们掌握Spring的基础知识。本节课程采用Spring Boot 2.0.4。,https://dn-simplecloud.shiyanlou.com/course/1536283668551_【1152】-【SpringBoot入门教程】.png
5,JDBC 入门教程,本实验通过学习 JDBC 定义和架构，回顾 SQL 语法，搭建 JDBC 的环境，通过实例来深入学习 JDBC。从中我们将学习到如何用 java 连接到数据库，并练习编写了一个信息管理的程序，在此基础上可以提高自己的数据库管理能力。,https://dn-simplecloud.shiyanlou.com/ncn110.jpg
6,JDK 核心 API,本课程将学习包括 java.lang 包，java.util 包，java.io 包，swing以及多线程的相关知识。,https://dn-simplecloud.shiyanlou.com/ncn109.jpg
7,Django 基础教程,本课程主要讲解了Python的Django框架的基础知识。通过学习本课程，可以熟悉Django框架的组成结构，并能在学习过程中了解Django的强大功能。,https://dn-simplecloud.shiyanlou.com/course/1531706079197_【1127】-【Django基础教程】.png
8,HTML 基础课程,课程从网站的基础概念开始，让你了解网站的运行机制之后，开始逐步深入。带领你学习网页制作所需要的 HTML 基础知识，了解各种常用标签的意义以及基本用法。丰富的代码实例，让你直观的看到各类标签的具体效果，加深对 HTML 内容的理解。,https://dn-simplecloud.shiyanlou.com/1548126810319.png
9,MyBatis 框架基础入门,"MyBatis 是支持定制化 SQL、存储过程以及高级映射的优秀的持久层框架。MyBatis 避免了几乎所有的 JDBC 代码和手动设置参数以及获取结果集。MyBatis 可以对配置和原生 Map 使用简单的 XML 或注解，将接口和 Java 的 POJOs(Plain Old Java Objects,普通的 Java对象)映射成数据库中的记录。本次课程详细介绍了 MyBatis 框架结构知识，并通过多个基础的 Demo 实例讲解了 MyBatis 的用法。",https://dn-simplecloud.shiyanlou.com/1517282865454.png
10,C++ 使用 openGL 实现吃豆人游戏,课程内容主要通过C++和openGL库来实现了一个吃豆人的小游戏。使用了标准模板库，既对自己之前知识的检阅也是对C++编程能力的一种提升。,https://dn-simplecloud.shiyanlou.com/course/1539677989499_[1182]-[C++-使用-openGL-实现吃豆人游戏].jpg
11,Python玩转Hadoop之MRjob入门,Python是做数据分析最好的语言。大数据当然也离不开Hadoop，Hadoop由JAVA写成，但Python也可以很好地操控它。本课程介绍了Python中MRjob模块，通过该模块，可以让开发者非常简单的通过Python来使用Hadoop进行数据分析。,https://dn-simplecloud.shiyanlou.com/course/1536917848576_【1167】-【Python玩转Hadoop之MRjob入门】.png
12,C 语言入门教程,本课程讲解 C 语言的开发环境以及对 C 语言的剖析，引入大量的 C 语言程序案例，把算法和语法结合起来，通过引导大家由浅入深地编写 C 程序，让大家掌握 C 语言。我们将从中学会 C 语言语法、数组、模块化程序设计指针、文件的输入与输出等。,https://dn-simplecloud.shiyanlou.com/1523348726316.png
13,Python 使用机器学习玩转 Flappy Bird 游戏,Flappy bird 是一款 2014 年 2 月突然爆红的趣味小游戏，玩家通过点击屏幕来控制一只小鸟飞行，并避开沿途高低不平的管子。本训练营通过学习使用纯人工操作，传统计算机视觉，深度学习这三种不同的方式来玩转 pygame 版的 flappy bird 游戏。让用户掌握 python 的基本操作，图像基本操作和深度学习相关知识。,https://dn-simplecloud.shiyanlou.com/course/1540797923928_[1162]-[Python-使用机器学习玩转FlappyBird游戏].jpg
14,基于 Servlet 的简单验证码图片生成,本课程通过在后台的 Servlet 生成验证码图片，传递到前台 HTML 页面展示。完成本课程可以进一步熟悉 Servlet、Random 函数、StringBuffer 、OutputStream 等等，掌握基础的验证码生成。本课程难度一般，适合具有 Java 基础和核心 API 知识的同学入门 Servlet 技术。,https://dn-simplecloud.shiyanlou.com/course/1542592682929_【588】-【基于servlet的简单验证码图片生成】.png
15,C++实现课程管理系统,本实验使用 C++ 实现一个课程管理系统，在这个过程中会介绍C++11的很多特性，同时可以熟悉Linux下的C++语言编译方法及简单的Makefile编写。,https://dn-simplecloud.shiyanlou.com/1521537778978.png
16,Python3  简明教程,简明易懂的 Python3 课程，不仅适用于那些有其它语言基础的同学，对没有编程经验的同学也非常友好。本课程不仅讲解了 Python3 基础知识，还介绍了 PEP8、Virtualenv、测试、项目结构以及 Flask 相关内容,https://dn-simplecloud.shiyanlou.com/course/1542592801417_【596】-【Python3简明教程】.png
17,Python 基于共现提取《釜山行》人物关系,针对《釜山行》剧本的文本，使用 python3 编写代码分析文本中人物的共现关系，完成对《釜山行》文本的人物关系提取，并利用Gephi软件对提取的人物关系绘制人物关系图。,https://dn-simplecloud.shiyanlou.com/1517278026775.png
18,GDB 简明教程,本课程通过动手实验学习 Linux 上 GDB 调试 C 语言程序的基本技巧。首先讲解了 GDB 的常用命令，然后通过对有问题的链表程序的调试来逐步实践挖掘程序 BUG 的过程。,https://dn-simplecloud.shiyanlou.com/course/1542592589413_【496】-【GDB简明教程】.png
19,C++ 实现并行计算的K-Means聚类算法,聚类是拥有相同属性的对象或记录的集合，属于无监督学习，K-Means 聚类算法是其中较为简单的聚类算法之一，具有易理解，运算速度快的特点。本次课程我们将使用 C++ 实现一个完整的面向对象的可并行K-Means算法。,https://dn-simplecloud.shiyanlou.com/course/1541669682292_[1193]-[C++-实现并行计算的K-Means聚类算法](1).jpg
20,Spark SQL 入门到上手实战,主要从入门讲解 Spark SQL 的使用，最后通过实战案例来巩固之前所学的知识，让学员达到深入浅出，融会贯通的教学目标。对于 Hive 会从入门带大家学习，SpringBoot 框架也会手把手教大家搭建，在最后，会通过讲解NLP基础知识，并且使用实战案例对影评信息进行情感分析。,https://dn-simplecloud.shiyanlou.com/course/1539571935166_1171-Spark-SQL-入门到上手实战.jpg
21,基于 Django 实现问答社区,使用 Django 打造一个完整成熟的社区框架，实现了用户注册，发布讨论，回复讨论，站内搜索等主要功能。让用户能够熟悉 Django 开发 Web 项目的基础流程，并可以在此项目的基础上进行自定义修改后，直接进行部署上线。,https://dn-simplecloud.shiyanlou.com/course/1542251589112_[1181]-[基于Django实现问答社区].jpg
22,Java 编程语言基础,本课程作为 Java 编程的入门内容，是每个 Java 初学者都必须掌握的知识内容。课程从常量与变量、运算符、流程控制、数组和方法等 Java 基础语法开始，层层递进，逐步带你认识了解如何通过 Java 实现面向对象的三大特征继承、封装，多态。并让你在学习过程中，快速掌握关于 Java 中常用类、字符串、集合框架和异常处理的相关操作使用。,https://dn-simplecloud.shiyanlou.com/1547620906601.png
23,Kubernetes 入门与实战,课程目的是通过介绍 Kubernetes 的核心概念和资源类型，再借助实际的实验操作来掌握它们，进而帮助我们去思考这些设计的意义以及它们如何应用于我们现有的业务场景。主要内容包括：Kubernetes 基础概念以及使用方式、单例应用 Pod、访问应用 Service 等。,https://dn-simplecloud.shiyanlou.com/course/1548491904238_[1207]-[Kubernetes入门与实战].png
24,使用 Python 批量爬取网站信息,本实验主要通过 Python 实现一个命令行参数控制的爬虫程序，可以批量爬取网站的 URLs、JS 文件及其中的端点、子域名和 DNS 有关的数据信息等，能够匹配自定义正则表达式的字符串，还支持将最终结果导出为 JSON 格式或 CSV 格式。,https://dn-simplecloud.shiyanlou.com/course/1553137229452_【1250】-【使用Python批量爬取网站信息】(1).png
25,Spring MVC 简易教程,Spring MVC 属于 SpringFrameWork 的后续产品，已经融合在 Spring Web Flow 里面，是一个强大灵活的 Web 框架。Spring MVC 提供了一个 DispatcherServlet 作为前端控制器来分配请求。通过策略接口，Spring 框架是高度可配置的。Spring MVC 还包含多种视图技术，如 Java Server Pages（JSP）、Velocity、Tiles、iText 和 POI 等。,https://dn-simplecloud.shiyanlou.com/1517283015763.png
26,C++ 解决迷宫问题,本课程通过 C++ 实现了一个迷宫游戏，游戏不仅涉及到简单的 C++ 游戏思想，还涉及到广度优先遍历算法。适合具有 C++ 基础的同学进行练习巩固知识。,https://dn-simplecloud.shiyanlou.com/1546500900109.png
27,Python 利用 itchat 进行好友分析和生成好友点赞屏保,本课程通过使用 itchat 获取微信好友相关数据，利用 pyecharts 进行可视化分析生成微信好友性别比例图、好友省级分布图以及好友城市分布 Top10 柱状图，最后使用 pillow 库对微信好友的头像进行拼接生成屏保。,https://dn-simplecloud.shiyanlou.com/course/1542950194204_[1197]-[Python利用itchat进行好友分析和生成好友点赞屏保].jpg
